'2019-05-16 14:33:05.149426', ' ', ' ', ' ', ' ', '0',('127.0.0.1', 56230)
'2019-05-16 14:33:10.249718', ' ', ' ', ' ', ' ', '0',('127.0.0.1', 56230)
'2019-05-16 23:37:30.329777', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2273)
'2019-05-16 23:37:35.431085', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2273)
'2019-05-16 23:38:43.774080', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2277)
'2019-05-16 23:38:48.876206', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2277)
'2019-05-16 23:39:26.990232', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2283)
'2019-05-16 23:39:32.091616', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2283)
'2019-05-16 23:41:27.672692', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:32.774721', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:37.876034', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:42.977467', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:48.079198', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:53.180908', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:41:58.282505', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2291)
'2019-05-16 23:42:22.397747', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:27.499525', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:32.601580', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:37.702929', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:42.804498', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:47.905706', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:42:53.006850', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2296)
'2019-05-16 23:52:24.277525', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:52:29.378811', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:52:34.480002', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:52:39.582015', ' ', ' ', ' ', ' ', '10',('127.0.0.1', 2326)
'2019-05-16 23:59:54.405322', ' ', ' ', ' ', ' ', '10',('127.0.0.1': 2361)
'2019-05-23 00:57:44.875064', '19', '42', '40', '20', '20',127.0.0.1
'2019-05-23 00:57:45.875495', '46', '16', '8', '49', '20',127.0.0.1
'2019-05-23 00:57:46.875926', '40', '33', '38', '1', '20',127.0.0.1
'2019-05-23 00:57:47.876353', '13', '42', '38', '44', '20',127.0.0.1
'2019-05-23 00:57:48.876772', '33', '1', '2', '41', '20',127.0.0.1
'2019-05-23 00:58:02.694909', '24', '39', '17', '25', '20',127.0.0.1
'2019-05-23 00:58:02.795844', '44', '39', '8', '6', '20',127.0.0.1
'2019-05-23 00:58:02.896788', '36', '37', '31', '39', '20',127.0.0.1
'2019-05-23 00:58:02.997726', '43', '30', '16', '47', '20',127.0.0.1
'2019-05-23 00:58:03.098685', '36', '34', '47', '33', '20',127.0.0.1
'2019-05-23 00:58:03.199612', '21', '34', '45', '22', '20',127.0.0.1
'2019-05-23 00:58:03.300554', '36', '10', '1', '38', '20',127.0.0.1
'2019-05-23 00:58:03.401497', '43', '40', '29', '12', '20',127.0.0.1
'2019-05-23 00:58:03.502440', '41', '24', '23', '15', '20',127.0.0.1
'2019-05-23 00:58:03.603391', '43', '20', '28', '13', '20',127.0.0.1
'2019-05-23 00:58:03.704325', '17', '15', '32', '33', '20',127.0.0.1
'2019-05-23 00:58:03.805267', '48', '22', '35', '13', '20',127.0.0.1
'2019-05-23 00:58:03.906210', '32', '25', '18', '38', '20',127.0.0.1
'2019-05-23 00:58:04.007152', '31', '7', '20', '29', '20',127.0.0.1
'2019-05-23 00:58:04.108095', '42', '38', '6', '34', '20',127.0.0.1
'2019-05-23 00:58:04.209037', '49', '17', '15', '41', '20',127.0.0.1
'2019-05-23 00:58:04.309980', '29', '19', '11', '21', '20',127.0.0.1
'2019-05-23 00:58:04.410922', '13', '14', '34', '5', '20',127.0.0.1
'2019-05-23 00:58:04.511864', '32', '36', '40', '34', '20',127.0.0.1
'2019-05-23 00:58:04.612807', '20', '32', '22', '35', '20',127.0.0.1
'2019-05-23 00:58:04.713750', '6', '11', '35', '8', '20',127.0.0.1
'2019-05-23 00:58:04.814692', '18', '16', '13', '10', '20',127.0.0.1
'2019-05-23 00:58:04.915635', '37', '49', '1', '49', '20',127.0.0.1
'2019-05-23 00:58:05.016577', '16', '26', '27', '22', '20',127.0.0.1
'2019-05-23 00:58:05.117520', '25', '29', '46', '46', '20',127.0.0.1
'2019-05-23 00:58:05.218462', '20', '34', '3', '26', '20',127.0.0.1
'2019-05-23 00:58:05.319405', '44', '13', '4', '34', '20',127.0.0.1
'2019-05-23 00:58:05.420346', '27', '39', '5', '23', '20',127.0.0.1
'2019-05-23 00:58:05.521290', '27', '2', '28', '21', '20',127.0.0.1
'2019-05-23 00:58:05.622233', '6', '1', '49', '37', '20',127.0.0.1
'2019-05-23 00:58:05.723175', '13', '28', '6', '9', '20',127.0.0.1
'2019-05-23 00:58:05.824117', '40', '6', '46', '21', '20',127.0.0.1
'2019-05-23 00:58:05.925068', '12', '33', '36', '8', '20',127.0.0.1
'2019-05-23 00:58:06.026002', '19', '37', '22', '3', '20',127.0.0.1
'2019-05-23 00:58:06.126945', '4', '30', '17', '1', '20',127.0.0.1
'2019-05-23 00:58:06.227887', '4', '22', '20', '23', '20',127.0.0.1
'2019-05-23 00:58:06.328830', '17', '45', '32', '36', '20',127.0.0.1
'2019-05-23 00:58:06.429772', '37', '41', '40', '3', '20',127.0.0.1
'2019-05-23 00:58:06.530715', '7', '46', '23', '40', '20',127.0.0.1
'2019-05-23 00:58:06.631656', '23', '35', '12', '19', '20',127.0.0.1
'2019-05-23 00:58:06.732600', '21', '37', '15', '20', '20',127.0.0.1
'2019-05-23 00:58:06.833542', '41', '37', '44', '8', '20',127.0.0.1
'2019-05-23 00:58:06.934485', '23', '17', '38', '38', '20',127.0.0.1
'2019-05-23 00:58:07.035427', '7', '40', '49', '38', '20',127.0.0.1
'2019-05-23 00:58:07.136370', '21', '31', '43', '40', '20',127.0.0.1
'2019-05-23 00:58:07.237312', '15', '49', '41', '33', '20',127.0.0.1
'2019-05-23 00:58:07.338255', '10', '35', '41', '1', '20',127.0.0.1
'2019-05-23 00:58:07.439197', '35', '22', '23', '19', '20',127.0.0.1
'2019-05-23 00:58:07.540140', '13', '17', '3', '9', '20',127.0.0.1
'2019-05-23 00:58:07.641082', '47', '25', '48', '41', '20',127.0.0.1
'2019-05-23 00:58:07.742025', '30', '7', '43', '42', '20',127.0.0.1
'2019-05-23 00:58:07.842967', '10', '36', '42', '34', '20',127.0.0.1
'2019-05-23 00:58:07.943909', '26', '31', '14', '23', '20',127.0.0.1
'2019-05-23 00:58:08.044851', '4', '30', '33', '3', '20',127.0.0.1
'2019-05-23 00:58:08.145794', '9', '11', '43', '15', '20',127.0.0.1
'2019-05-23 00:58:08.246737', '13', '45', '45', '45', '20',127.0.0.1
'2019-05-23 00:58:08.347680', '24', '34', '6', '19', '20',127.0.0.1
'2019-05-23 00:58:08.448622', '24', '21', '46', '1', '20',127.0.0.1
'2019-05-23 00:58:08.549564', '41', '47', '23', '43', '20',127.0.0.1
'2019-05-23 00:58:08.650507', '44', '44', '35', '43', '20',127.0.0.1
'2019-05-23 00:58:08.751449', '10', '49', '32', '37', '20',127.0.0.1
'2019-05-23 00:58:08.852407', '32', '4', '29', '12', '20',127.0.0.1
'2019-05-23 00:58:08.953335', '42', '18', '10', '42', '20',127.0.0.1
'2019-05-23 00:58:09.054278', '31', '12', '19', '44', '20',127.0.0.1
'2019-05-23 00:58:09.155219', '6', '28', '37', '30', '20',127.0.0.1
'2019-05-23 00:58:09.256162', '10', '1', '49', '34', '20',127.0.0.1
'2019-05-23 00:58:09.357104', '14', '29', '1', '21', '20',127.0.0.1
'2019-05-23 00:58:09.458046', '5', '47', '25', '4', '20',127.0.0.1
'2019-05-23 00:58:09.558991', '18', '9', '7', '49', '20',127.0.0.1
'2019-05-23 00:58:09.659932', '18', '15', '20', '42', '20',127.0.0.1
'2019-05-23 00:58:09.760874', '13', '15', '43', '21', '20',127.0.0.1
'2019-05-23 00:58:09.861817', '12', '23', '32', '33', '20',127.0.0.1
'2019-05-23 00:58:09.962759', '25', '30', '11', '9', '20',127.0.0.1
'2019-05-23 00:58:10.063702', '10', '43', '38', '27', '20',127.0.0.1
'2019-05-23 00:58:10.164644', '5', '48', '25', '29', '20',127.0.0.1
'2019-05-23 00:58:10.265695', '49', '3', '16', '4', '20',127.0.0.1
'2019-05-23 00:58:10.366529', '43', '34', '10', '48', '20',127.0.0.1
'2019-05-23 00:58:10.467472', '26', '43', '12', '11', '20',127.0.0.1
'2019-05-23 00:58:10.568414', '48', '47', '44', '4', '20',127.0.0.1
'2019-05-23 00:58:10.669357', '36', '3', '33', '31', '20',127.0.0.1
'2019-05-23 00:58:10.770299', '8', '19', '33', '44', '20',127.0.0.1
'2019-05-23 00:58:10.871242', '38', '25', '12', '26', '20',127.0.0.1
'2019-05-23 00:58:10.972184', '24', '49', '22', '12', '20',127.0.0.1
'2019-05-23 00:58:11.073127', '11', '48', '46', '7', '20',127.0.0.1
'2019-05-23 00:58:11.174070', '6', '14', '24', '11', '20',127.0.0.1
'2019-05-23 00:58:11.275012', '11', '3', '10', '25', '20',127.0.0.1
'2019-05-23 00:58:11.375954', '7', '34', '19', '19', '20',127.0.0.1
'2019-05-23 00:58:11.476896', '23', '36', '34', '7', '20',127.0.0.1
'2019-05-23 00:58:11.577838', '45', '38', '43', '25', '20',127.0.0.1
'2019-05-23 00:58:11.678782', '6', '5', '42', '47', '20',127.0.0.1
'2019-05-23 00:58:11.779724', '30', '43', '36', '48', '20',127.0.0.1
'2019-05-23 00:58:11.880667', '38', '47', '19', '9', '20',127.0.0.1
'2019-05-23 00:58:11.981609', '29', '30', '22', '24', '20',127.0.0.1
'2019-05-23 00:58:12.082552', '21', '22', '19', '1', '20',127.0.0.1
'2019-05-23 00:58:12.183494', '28', '6', '10', '46', '20',127.0.0.1
'2019-05-23 00:58:12.284437', '8', '7', '29', '43', '20',127.0.0.1
'2019-05-23 00:58:12.385379', '28', '19', '39', '20', '20',127.0.0.1
'2019-05-23 00:58:12.486322', '46', '6', '19', '5', '20',127.0.0.1
'2019-05-23 00:58:12.587264', '27', '1', '1', '11', '20',127.0.0.1
'2019-05-23 00:58:12.688207', '1', '4', '8', '6', '20',127.0.0.1
'2019-05-23 00:58:12.789149', '9', '29', '23', '11', '20',127.0.0.1
'2019-05-23 00:58:12.890092', '32', '13', '49', '43', '20',127.0.0.1
'2019-05-23 00:58:12.991034', '6', '48', '28', '9', '20',127.0.0.1
'2019-05-23 00:58:13.091975', '23', '5', '49', '21', '20',127.0.0.1
'2019-05-23 00:58:13.192919', '31', '32', '20', '18', '20',127.0.0.1
'2019-05-23 00:58:13.293861', '32', '5', '41', '24', '20',127.0.0.1
'2019-05-23 00:58:13.394804', '12', '1', '1', '9', '20',127.0.0.1
'2019-05-23 00:58:13.495748', '37', '23', '1', '20', '20',127.0.0.1
'2019-05-23 00:58:13.596698', '7', '8', '25', '2', '20',127.0.0.1
'2019-05-23 00:58:13.697631', '32', '7', '33', '23', '20',127.0.0.1
'2019-05-23 00:58:13.798574', '48', '1', '46', '46', '20',127.0.0.1
'2019-05-23 00:58:13.899517', '12', '45', '17', '31', '20',127.0.0.1
'2019-05-23 00:58:14.000474', '44', '2', '37', '27', '20',127.0.0.1
'2019-05-23 00:58:14.101402', '23', '42', '23', '26', '20',127.0.0.1
'2019-05-23 00:58:14.202344', '27', '38', '8', '46', '20',127.0.0.1
'2019-05-23 00:58:14.303289', '47', '13', '13', '1', '20',127.0.0.1
'2019-05-23 00:58:14.404229', '49', '42', '3', '40', '20',127.0.0.1
'2019-05-23 00:58:14.505180', '31', '34', '27', '18', '20',127.0.0.1
'2019-05-23 00:58:14.606114', '7', '43', '7', '1', '20',127.0.0.1
'2019-05-23 00:58:14.707057', '5', '33', '31', '47', '20',127.0.0.1
'2019-05-23 00:58:14.807999', '29', '5', '25', '42', '20',127.0.0.1
'2019-05-23 00:58:14.908942', '41', '5', '34', '29', '20',127.0.0.1
'2019-05-23 00:58:15.009884', '40', '11', '46', '43', '20',127.0.0.1
'2019-05-23 00:58:15.110827', '15', '21', '6', '45', '20',127.0.0.1
'2019-05-23 00:58:15.211768', '31', '24', '17', '28', '20',127.0.0.1
'2019-05-23 00:58:15.312712', '2', '27', '32', '26', '20',127.0.0.1
'2019-05-23 00:58:15.413663', '45', '3', '8', '18', '20',127.0.0.1
'2019-05-23 00:58:15.514597', '14', '17', '13', '17', '20',127.0.0.1
'2019-05-23 00:58:15.615539', '7', '49', '13', '44', '20',127.0.0.1
'2019-05-23 00:58:15.716482', '28', '44', '6', '26', '20',127.0.0.1
'2019-05-23 00:58:15.817422', '13', '37', '14', '46', '20',127.0.0.1
'2019-05-23 00:58:15.918367', '18', '23', '13', '24', '20',127.0.0.1
'2019-05-23 00:58:16.019309', '46', '37', '2', '9', '20',127.0.0.1
'2019-05-23 00:58:16.120251', '44', '13', '18', '9', '20',127.0.0.1
'2019-05-23 00:58:16.221193', '13', '30', '23', '30', '20',127.0.0.1
'2019-05-23 00:58:16.322136', '19', '6', '44', '36', '20',127.0.0.1
'2019-05-23 00:58:16.423079', '46', '19', '10', '17', '20',127.0.0.1
'2019-05-23 00:58:16.524022', '42', '44', '24', '24', '20',127.0.0.1
'2019-05-23 00:58:16.624964', '5', '5', '8', '18', '20',127.0.0.1
'2019-05-23 00:58:16.725907', '37', '9', '33', '24', '20',127.0.0.1
'2019-05-23 00:58:16.826849', '21', '3', '32', '8', '20',127.0.0.1
'2019-05-23 00:58:16.927791', '26', '47', '47', '12', '20',127.0.0.1
'2019-05-23 00:58:17.028734', '40', '16', '30', '12', '20',127.0.0.1
'2019-05-23 00:58:17.129677', '17', '45', '47', '20', '20',127.0.0.1
'2019-05-23 00:58:17.230633', '47', '36', '34', '41', '20',127.0.0.1
'2019-05-23 00:58:17.331561', '18', '22', '49', '27', '20',127.0.0.1
'2019-05-23 00:58:17.432504', '12', '9', '28', '17', '20',127.0.0.1
'2019-05-23 00:58:17.533446', '5', '35', '25', '36', '20',127.0.0.1
'2019-05-23 00:58:17.634389', '38', '27', '2', '6', '20',127.0.0.1
'2019-05-23 00:58:17.735331', '34', '27', '27', '45', '20',127.0.0.1
'2019-05-23 00:58:17.836274', '18', '38', '38', '14', '20',127.0.0.1
'2019-05-23 00:58:17.937216', '36', '45', '31', '37', '20',127.0.0.1
'2019-05-23 00:58:18.038159', '26', '44', '49', '1', '20',127.0.0.1
'2019-05-23 00:58:18.139101', '15', '9', '10', '49', '20',127.0.0.1
'2019-05-23 00:58:18.240043', '47', '24', '21', '48', '20',127.0.0.1
'2019-05-23 00:58:18.340985', '8', '34', '7', '14', '20',127.0.0.1
'2019-05-23 00:58:18.441929', '30', '37', '17', '26', '20',127.0.0.1
'2019-05-23 00:58:18.542870', '2', '42', '49', '31', '20',127.0.0.1
'2019-05-23 00:58:18.643814', '12', '20', '41', '44', '20',127.0.0.1
'2019-05-23 00:58:18.744765', '48', '29', '43', '15', '20',127.0.0.1
'2019-05-23 00:58:18.845698', '35', '42', '38', '21', '20',127.0.0.1
'2019-05-23 00:58:18.946651', '35', '29', '22', '33', '20',127.0.0.1
'2019-05-23 00:58:19.047584', '44', '9', '8', '22', '20',127.0.0.1
'2019-05-23 00:58:19.148526', '15', '43', '47', '39', '20',127.0.0.1
'2019-05-23 00:58:19.249469', '8', '5', '43', '36', '20',127.0.0.1
'2019-05-23 00:58:19.350411', '12', '11', '13', '33', '20',127.0.0.1
'2019-05-23 00:58:19.451354', '22', '27', '34', '13', '20',127.0.0.1
'2019-05-23 00:58:19.552296', '34', '20', '42', '19', '20',127.0.0.1
'2019-05-23 00:58:19.653239', '41', '32', '40', '28', '20',127.0.0.1
'2019-05-23 00:58:19.754181', '44', '29', '28', '25', '20',127.0.0.1
'2019-05-23 00:58:19.855123', '1', '9', '30', '49', '20',127.0.0.1
'2019-05-23 00:58:19.956065', '17', '25', '17', '19', '20',127.0.0.1
'2019-05-23 00:58:20.057009', '6', '22', '32', '10', '20',127.0.0.1
'2019-05-23 00:58:20.157949', '46', '37', '35', '11', '20',127.0.0.1
'2019-05-23 00:58:20.258894', '38', '43', '4', '48', '20',127.0.0.1
'2019-05-23 00:58:20.359837', '9', '7', '2', '47', '20',127.0.0.1
'2019-05-23 00:58:20.460779', '9', '13', '42', '30', '20',127.0.0.1
'2019-05-23 00:58:20.561721', '32', '12', '22', '10', '20',127.0.0.1
'2019-05-23 00:58:20.662664', '42', '24', '32', '9', '20',127.0.0.1
'2019-05-23 00:58:20.763607', '38', '5', '30', '4', '20',127.0.0.1
'2019-05-23 00:58:20.864549', '33', '7', '39', '32', '20',127.0.0.1
'2019-05-23 00:58:20.965491', '37', '40', '9', '10', '20',127.0.0.1
'2019-05-23 00:58:21.066434', '47', '15', '14', '19', '20',127.0.0.1
'2019-05-23 00:58:21.167376', '3', '41', '11', '2', '20',127.0.0.1
'2019-05-23 00:58:21.268319', '33', '12', '19', '31', '20',127.0.0.1
'2019-05-23 00:58:21.369261', '22', '48', '44', '11', '20',127.0.0.1
'2019-05-23 00:58:21.470204', '16', '2', '47', '21', '20',127.0.0.1
'2019-05-23 00:58:21.571146', '20', '16', '9', '8', '20',127.0.0.1
'2019-05-23 00:58:21.672089', '27', '17', '34', '8', '20',127.0.0.1
'2019-05-23 00:58:21.773031', '2', '36', '5', '32', '20',127.0.0.1
'2019-05-23 00:58:21.873975', '24', '34', '11', '29', '20',127.0.0.1
'2019-05-23 00:58:21.974916', '40', '37', '46', '23', '20',127.0.0.1
'2019-05-23 00:58:22.075858', '18', '23', '28', '13', '20',127.0.0.1
'2019-05-23 00:58:22.176801', '3', '17', '34', '35', '20',127.0.0.1
'2019-05-23 00:58:22.277752', '14', '28', '5', '23', '20',127.0.0.1
'2019-05-23 00:58:22.378686', '36', '2', '37', '45', '20',127.0.0.1
'2019-05-23 00:58:22.479629', '44', '33', '33', '6', '20',127.0.0.1
'2019-05-23 00:58:22.580571', '18', '46', '2', '4', '20',127.0.0.1
'2019-05-23 00:58:22.681513', '35', '13', '30', '7', '20',127.0.0.1
'2019-05-23 00:58:22.782456', '22', '46', '47', '25', '20',127.0.0.1
'2019-05-23 00:58:22.883399', '40', '14', '19', '23', '20',127.0.0.1
'2019-05-23 00:58:22.984341', '17', '1', '20', '12', '20',127.0.0.1
'2019-05-23 00:58:23.085284', '31', '26', '44', '15', '20',127.0.0.1
'2019-05-23 00:58:23.186226', '28', '15', '42', '8', '20',127.0.0.1
'2019-05-23 00:58:23.287169', '45', '1', '2', '47', '20',127.0.0.1
'2019-05-23 00:58:23.388111', '49', '25', '11', '11', '20',127.0.0.1
'2019-05-23 00:58:23.489054', '49', '8', '41', '14', '20',127.0.0.1
'2019-05-23 00:58:23.589996', '44', '32', '49', '25', '20',127.0.0.1
'2019-05-23 00:58:23.690938', '17', '5', '27', '41', '20',127.0.0.1
'2019-05-23 00:58:23.791881', '34', '41', '47', '13', '20',127.0.0.1
'2019-05-23 00:58:23.892824', '7', '46', '3', '1', '20',127.0.0.1
'2019-05-23 00:58:23.993766', '15', '9', '6', '39', '20',127.0.0.1
'2019-05-23 00:58:24.094708', '8', '5', '10', '18', '20',127.0.0.1
'2019-05-23 00:58:24.195660', '27', '13', '6', '20', '20',127.0.0.1
'2019-05-23 00:58:24.296593', '43', '43', '22', '49', '20',127.0.0.1
'2019-05-23 00:58:24.397547', '9', '27', '45', '13', '20',127.0.0.1
'2019-05-23 00:58:24.498478', '27', '45', '13', '27', '20',127.0.0.1
'2019-05-23 00:58:24.599421', '13', '25', '23', '26', '20',127.0.0.1
'2019-05-23 00:58:24.700363', '38', '26', '26', '47', '20',127.0.0.1
'2019-05-23 00:58:24.801305', '5', '48', '41', '19', '20',127.0.0.1
'2019-05-23 00:58:24.902248', '47', '12', '39', '5', '20',127.0.0.1
'2019-05-23 00:58:25.003191', '40', '41', '8', '3', '20',127.0.0.1
'2019-05-23 00:58:25.104134', '23', '9', '44', '48', '20',127.0.0.1
'2019-05-23 00:58:25.205076', '9', '33', '16', '23', '20',127.0.0.1
'2019-05-23 00:58:25.306018', '36', '48', '26', '48', '20',127.0.0.1
'2019-05-23 00:58:25.406959', '12', '40', '42', '45', '20',127.0.0.1
'2019-05-23 00:58:25.507903', '49', '46', '9', '7', '20',127.0.0.1
'2019-05-23 00:58:25.608846', '49', '8', '29', '31', '20',127.0.0.1
'2019-05-23 00:58:25.709787', '6', '35', '18', '49', '20',127.0.0.1
'2019-05-23 00:58:25.810731', '1', '33', '18', '29', '20',127.0.0.1
'2019-05-23 00:58:25.911674', '13', '20', '43', '37', '20',127.0.0.1
'2019-05-23 00:58:26.012617', '17', '7', '8', '38', '20',127.0.0.1
'2019-05-23 00:58:26.113557', '18', '23', '15', '2', '20',127.0.0.1
'2019-05-23 00:58:26.214501', '2', '17', '30', '14', '20',127.0.0.1
'2019-05-23 00:58:26.315443', '46', '40', '43', '35', '20',127.0.0.1
'2019-05-23 00:58:26.416386', '23', '48', '9', '42', '20',127.0.0.1
'2019-05-23 00:58:26.517328', '36', '43', '35', '43', '20',127.0.0.1
'2019-05-23 00:58:26.618271', '6', '9', '16', '37', '20',127.0.0.1
'2019-05-23 00:58:26.719213', '4', '44', '39', '11', '20',127.0.0.1
'2019-05-23 00:58:26.820156', '17', '38', '15', '7', '20',127.0.0.1
'2019-05-23 00:58:26.921098', '2', '22', '13', '39', '20',127.0.0.1
'2019-05-23 00:58:27.022054', '11', '16', '17', '11', '20',127.0.0.1
'2019-05-23 00:58:27.122983', '13', '29', '4', '36', '20',127.0.0.1
'2019-05-23 00:58:27.223926', '19', '41', '6', '37', '20',127.0.0.1
'2019-05-23 00:58:27.324868', '12', '38', '10', '2', '20',127.0.0.1
'2019-05-23 00:58:27.425811', '49', '35', '48', '41', '20',127.0.0.1
'2019-05-23 00:58:27.526752', '2', '12', '48', '16', '20',127.0.0.1
'2019-05-23 00:58:27.627696', '20', '17', '4', '17', '20',127.0.0.1
'2019-05-23 00:58:27.728638', '43', '26', '23', '3', '20',127.0.0.1
'2019-05-23 00:58:27.829581', '26', '32', '22', '26', '20',127.0.0.1
'2019-05-23 00:58:27.930524', '6', '19', '5', '20', '20',127.0.0.1
'2019-05-23 00:58:28.031465', '36', '16', '4', '16', '20',127.0.0.1
'2019-05-23 00:58:28.132407', '7', '37', '46', '17', '20',127.0.0.1
'2019-05-23 00:58:28.233351', '36', '21', '18', '30', '20',127.0.0.1
'2019-05-23 00:58:28.334293', '40', '25', '5', '32', '20',127.0.0.1
'2019-05-23 00:58:28.435234', '8', '44', '41', '45', '20',127.0.0.1
'2019-05-23 00:58:28.536178', '38', '39', '31', '24', '20',127.0.0.1
'2019-05-23 00:58:28.637129', '38', '45', '6', '31', '20',127.0.0.1
'2019-05-23 00:58:28.738072', '28', '2', '2', '27', '20',127.0.0.1
'2019-05-23 00:58:28.839014', '37', '44', '5', '8', '20',127.0.0.1
'2019-05-23 00:58:28.939948', '17', '16', '10', '9', '20',127.0.0.1
'2019-05-23 00:58:29.040890', '31', '33', '46', '7', '20',127.0.0.1
'2019-05-23 00:58:29.141833', '8', '37', '34', '16', '20',127.0.0.1
'2019-05-23 00:58:29.242776', '35', '46', '37', '32', '20',127.0.0.1
'2019-05-23 00:58:29.343718', '45', '12', '18', '26', '20',127.0.0.1
'2019-05-23 00:58:29.444661', '49', '15', '32', '7', '20',127.0.0.1
'2019-05-23 00:58:29.545603', '17', '44', '36', '7', '20',127.0.0.1
'2019-05-23 00:58:29.646546', '28', '31', '49', '18', '20',127.0.0.1
'2019-05-23 00:58:29.747488', '14', '5', '8', '11', '20',127.0.0.1
'2019-05-23 00:58:29.848429', '8', '22', '15', '26', '20',127.0.0.1
'2019-05-23 00:58:29.949375', '3', '41', '40', '23', '20',127.0.0.1
'2019-05-23 00:58:30.050316', '18', '28', '26', '36', '20',127.0.0.1
'2019-05-23 00:58:30.151258', '11', '9', '31', '13', '20',127.0.0.1
'2019-05-23 00:58:30.252201', '24', '44', '12', '26', '20',127.0.0.1
'2019-05-23 00:58:30.353143', '45', '32', '11', '23', '20',127.0.0.1
'2019-05-23 00:58:30.454086', '41', '41', '27', '10', '20',127.0.0.1
'2019-05-23 00:58:30.555028', '33', '18', '7', '38', '20',127.0.0.1
'2019-05-23 00:58:30.655971', '33', '7', '6', '3', '20',127.0.0.1
'2019-05-23 00:58:30.756913', '25', '47', '45', '20', '20',127.0.0.1
'2019-05-23 00:58:30.857856', '8', '23', '44', '34', '20',127.0.0.1
'2019-05-23 00:58:30.958798', '30', '4', '39', '2', '20',127.0.0.1
'2019-05-23 00:58:31.059740', '43', '16', '27', '7', '20',127.0.0.1
'2019-05-23 00:58:31.160683', '31', '34', '45', '2', '20',127.0.0.1
'2019-05-23 00:58:31.261626', '7', '37', '42', '17', '20',127.0.0.1
'2019-05-23 00:58:31.362568', '14', '48', '2', '7', '20',127.0.0.1
'2019-05-23 00:58:31.463510', '3', '4', '21', '12', '20',127.0.0.1
'2019-05-23 00:58:31.564453', '42', '46', '27', '2', '20',127.0.0.1
'2019-05-23 00:58:31.665396', '3', '30', '30', '17', '20',127.0.0.1
'2019-05-23 00:58:31.766338', '19', '23', '48', '3', '20',127.0.0.1
'2019-05-23 00:58:31.867284', '47', '43', '38', '22', '20',127.0.0.1
'2019-05-23 00:58:31.968222', '35', '38', '38', '1', '20',127.0.0.1
'2019-05-23 00:58:32.069165', '36', '17', '18', '21', '20',127.0.0.1
'2019-05-23 00:58:32.170108', '49', '1', '31', '7', '20',127.0.0.1
'2019-05-23 00:58:32.271050', '14', '36', '38', '22', '20',127.0.0.1
'2019-05-23 00:58:32.371993', '39', '12', '47', '43', '20',127.0.0.1
'2019-05-23 00:58:32.472936', '11', '43', '15', '15', '20',127.0.0.1
'2019-05-23 00:58:32.573878', '3', '36', '19', '46', '20',127.0.0.1
'2019-05-23 00:58:32.674820', '16', '29', '12', '23', '20',127.0.0.1
'2019-05-23 00:58:32.775763', '17', '19', '33', '49', '20',127.0.0.1
'2019-05-23 00:58:32.876704', '22', '46', '43', '2', '20',127.0.0.1
'2019-05-23 00:58:32.977648', '19', '19', '15', '19', '20',127.0.0.1
'2019-05-23 00:58:33.078590', '24', '11', '12', '49', '20',127.0.0.1
'2019-05-23 00:58:33.179533', '24', '34', '4', '48', '20',127.0.0.1
'2019-05-23 00:58:33.280475', '33', '9', '6', '27', '20',127.0.0.1
'2019-05-23 00:58:33.381418', '45', '8', '11', '27', '20',127.0.0.1
'2019-05-23 00:58:33.482360', '34', '4', '9', '31', '20',127.0.0.1
'2019-05-23 00:58:33.583303', '29', '10', '35', '8', '20',127.0.0.1
'2019-05-23 00:58:33.684245', '34', '41', '41', '12', '20',127.0.0.1
'2019-05-23 00:58:33.785188', '15', '21', '31', '23', '20',127.0.0.1
'2019-05-23 00:58:33.886130', '24', '40', '40', '34', '20',127.0.0.1
'2019-05-23 00:58:33.987073', '31', '16', '20', '10', '20',127.0.0.1
